,Rainfall (mm),GWL (m),AMP,AMT
2019-01-11,0.0,-1.5345833333333332,0.05545266968439572,0.07529790045773092
2019-01-12,0.0,-1.2429166666666667,0.05629229116750494,0.07563154948174942
2019-01-13,0.0,-0.7970833333333333,0.05713191265061416,0.07596519850576791
2019-01-14,0.0,-1.0995833333333334,0.057564722931849756,0.07656992229548522
2019-01-15,0.0,-1.4958333333333333,0.05755534712409227,0.07746929256965773
2019-01-16,4.0,-1.53125,0.05754597131633479,0.07836866284383026
2019-01-17,1.0,-1.4916666666666665,0.057536595508577315,0.07926803311800278
2019-01-18,0.0,-1.4791666666666667,0.05752721970081984,0.0801674033921753
2019-01-19,0.0,-1.0362500000000001,0.056936882452663456,0.0808519515724621
2019-01-20,0.0,-0.72625,0.05571506537798653,0.08130299747678615
2019-01-21,0.0,-1.05375,0.0544932483033096,0.08175404338111021
2019-01-22,0.0,-1.43625,0.053271431228632676,0.08220508928543427
2019-01-23,0.0,-1.5858333333333334,0.05204961415395575,0.08265613518975833
2019-01-24,0.0,-1.6820833333333332,0.05044757429815221,0.08311555106255294
2019-01-25,0.0,-1.7304166666666667,0.048432248810689305,0.0835840647271634
2019-01-26,0.0,-1.4429166666666668,0.04641692332322641,0.08405257839177387
2019-01-27,0.0,-1.1508333333333334,0.04440159783576351,0.08452109205638432
2019-01-28,0.0,-1.4004166666666666,0.042386272348300606,0.08498960572099479
2019-01-29,0.0,-1.615,0.04025250703110136,0.08511757249897277
2019-01-30,0.0,-1.7179166666666665,0.037990002768536514,0.08487537961756758
2019-01-31,0.0,-1.5920833333333333,0.03572749850597167,0.08463318673616242
2019-02-01,0.0,-1.3079166666666666,0.03346499424340683,0.08439099385475723
2019-02-02,0.0,-0.9387500000000001,0.031202489980841987,0.08414880097335205
2019-02-03,0.5,-0.7833333333333333,0.0300330490573969,0.08369802013042717
2019-02-04,0.0,-0.6491666666666667,0.030051720459081974,0.08302051324237217
2019-02-05,0.0,-0.49374999999999997,0.030070391860767053,0.08234300635431716
2019-02-06,0.0,-0.39666666666666667,0.030089063262452132,0.08166549946626216
2019-02-07,0.0,-0.30333333333333334,0.03010773466413721,0.08098799257820714
2019-02-08,0.0,-0.2675,0.031059819234335206,0.0805858457569485
2019-02-09,0.0,-0.2658333333333333,0.0330264833355255,0.08048300335612067
2019-02-10,0.0,-0.30375,0.0349931474367158,0.08038016095529286
2019-02-11,0.0,-0.7541666666666668,0.0369598115379061,0.08027731855446504
2019-02-12,0.0,-1.1245833333333333,0.038926475639096396,0.08017447615363722
2019-02-13,0.0,-1.3245833333333332,0.041145239301425114,0.08012034116890923
